-- state,locality,postcode_range
MA,Bom Lugar,65704-000 a 65704-999
MA,Brejo,65520-000 a 65524-999
MA,Brejo de Areia,65315-000 a 65319-999
MA,Buriti,65515-000 a 65519-999
MA,Buriti Bravo,65685-000 a 65689-999
MA,Buriticupu,65393-000 a 65394-999
MA,Buritirana,65935-500 a 65935-898
MA,Cachoeira Grande,65165-000 a 65169-999
MA,Cajapió,65230-000 a 65232-999
MA,Cajari,65210-000 a 65212-999
MA,Campestre do Maranhão,65968-000 a 65969-999
MA,Cantanhede,65465-000 a 65467-999
MA,Capinzal do Norte,65735-000 a 65739-999
MA,Carolina,65980-000 a 65989-999
MA,Carutapera,65295-000 a 65298-999
MA,Caxias,65600-001 a 65609-999
MA,Caxias,65600-001 a 65609-999
MA,Cedral,65260-000 a 65262-999
MA,Central do Maranhão,65267-000 a 65267-999
MA,Centro Novo do Maranhão,65299-000 a 65299-999
MA,Centro do Guilherme,65288-000 a 65288-999
MA,Chapadinha,65500-000 a 65504-999
MA,Cidelândia,65921-000 a 65921-999
MA,Codó,65400-000 a 65412-999
MA,Coelho Neto,65620-000 a 65624-999
MA,Colinas,65690-000 a 65692-999
MA,Conceição do Lago-Açu,65340-000 a 65344-999
MA,Coroatá,65415-000 a 65417-999
MA,Cururupu,65268-000 a 65268-999
MA,Cândido Mendes,65280-000 a 65282-999
MA,Davinópolis,65927-000 a 65927-999
MA,Dom Pedro,65765-000 a 65767-999
MA,Duque Bacelar,65625-000 a 65629-999
MA,Esperantinópolis,65750-000 a 65752-999
MA,Estreito,65975-000 a 65977-999
MA,Feira Nova do Maranhão,65995-000 a 65999-999
MA,Fernando Falcão,65964-000 a 65967-999
MA,Formosa da Serra Negra,65943-000 a 65944-999
MA,Fortaleza dos Nogueiras,65805-000 a 65807-999
MA,Fortuna,65695-000 a 65699-999
MA,Godofredo Viana,65285-000 a 65287-999
MA,Gonçalves Dias,65775-000 a 65779-999
MA,Governador Archer,65770-000 a 65774-999
MA,Governador Edison Lobão,65928-000 a 65928-999
MA,Governador Eugênio Barros,65780-000 a 65782-999
MA,Governador Luiz Rocha,65795-000 a 65799-999
MA,Governador Newton Bello,65363-000 a 65364-999
MA,Governador Nunes Freire,65284-000 a 65284-999
MA,Grajaú,65940-000 a 65942-999
MA,Graça Aranha,65785-000 a 65789-999
MA,Guimarães,65255-000 a 65259-999
MA,Humberto de Campos,65180-000 a 65189-999
MA,Icatu,65170-000 a 65179-999
MA,Igarapé Grande,65720-000 a 65722-999
MA,Igarapé do Meio,65345-000 a 65349-999
MA,Imperatriz,65900-001 a 65919-999
MA,Imperatriz,65900-001 a 65919-999
MA,Itaipava do Grajaú,65948-000 a 65949-999
MA,Itapecuru Mirim,65485-000 a 65489-999
MA,Itinga do Maranhão,65939-000 a 65939-999
MA,Jatobá,65693-000 a 65694-999
MA,Jenipapo dos Vieiras,65962-000 a 65963-999
MA,Joselândia,65755-000 a 65757-999
MA,João Lisboa,65922-000 a 65922-999
MA,Junco do Maranhão,65294-000 a 65294-999
MA,Lago Verde,65705-000 a 65705-999
MA,Lago da Pedra,65715-000 a 65715-999
MA,Lago do Junco,65710-000 a 65711-999
MA,Lago dos Rodrigues,65712-000 a 65713-999
MA,Lagoa Grande do Maranhão,65718-000 a 65719-999
MA,Lagoa do Mato,65683-000 a 65684-999
MA,Lajeado Novo,65937-000 a 65937-999
MA,Lima Campos,65728-000 a 65729-999
MA,Loreto,65895-000 a 65899-999
MA,Luís Domingues,65290-000 a 65291-999
MA,Magalhães de Almeida,65560-000 a 65569-999
MA,Maracaçumé,65289-000 a 65289-999
MA,Marajá do Sena,65714-000 a 65714-999
MA,Maranhãozinho,65283-000 a 65283-999
MA,Mata Roma,65510-000 a 65514-999
MA,Matinha,65218-000 a 65219-999
MA,Matões,65645-000 a 65649-999
MA,Matões do Norte,65468-000 a 65469-999
MA,Milagres do Maranhão,65545-000 a 65549-999
MA,Mirador,65850-000 a 65859-999
MA,Miranda do Norte,65495-000 a 65499-999
MA,Mirinzal,65265-000 a 65266-999
MA,Montes Altos,65936-000 a 65936-999
MA,Monção,65360-000 a 65362-999
MA,Morros,65160-000 a 65164-999
MA,Nina Rodrigues,65450-000 a 65454-999
MA,Nova Colinas,65808-000 a 65809-999
MA,Nova Iorque,65880-000 a 65884-999
MA,Nova Olinda do Maranhão,65274-000 a 65274-999
MA,Olho D'Água das Cunhãs,65706-000 a 65706-999
MA,Olinda Nova do Maranhão,65223-000 a 65224-999
MA,Palmeirândia,65238-000 a 65244-999
MA,Paraibano,65670-000 a 65679-999
MA,Parnarama,65640-000 a 65644-999
MA,Passagem Franca,65680-000 a 65682-999
MA,Pastos Bons,65870-000 a 65879-999
MA,Paulino Neves,65585-000 a 65589-999
MA,Paulo Ramos,65716-000 a 65717-999
MA,Paço do Lumiar,65130-000 a 65137-999
MA,Pedreiras,65725-000 a 65726-999
MA,Pedro do Rosário,65206-000 a 65207-999
MA,Penalva,65213-000 a 65214-999
MA,Peri Mirim,65245-000 a 65247-999
MA,Peritoró,65418-000 a 65419-999
MA,Pindaré Mirim,65370-000 a 65377-999
MA,Pinheiro,65200-000 a 65203-999
MA,Pio XII,65707-000 a 65707-999
MA,Pirapemas,65460-000 a 65464-999
MA,Porto Franco,65970-000 a 65972-999
MA,Porto Rico do Maranhão,65263-000 a 65264-999
MA,Poção de Pedras,65740-000 a 65749-999
MA,Presidente Dutra,65760-000 a 65761-999
MA,Presidente Juscelino,65140-000 a 65142-999
MA,Presidente Médici,65279-000 a 65279-999
MA,Presidente Sarney,65204-000 a 65205-999
MA,Presidente Vargas,65455-000 a 65459-999
MA,Primeira Cruz,65190-000 a 65194-999
MA,Raposa,65138-000 a 65139-999
MA,Riachão,65990-000 a 65994-999
MA,Ribamar Fiquene,65938-000 a 65938-999
MA,Rosário,65150-000 a 65152-999
MA,Sambaíba,65830-000 a 65839-999
MA,Santa Filomena do Maranhão,65768-000 a 65769-999
MA,Santa Helena,65208-000 a 65209-999
MA,Santa Inês,65300-001 a 65309-999
MA,Santa Inês,65300-001 a 65309-999
MA,Santa Luzia,65390-000 a 65392-999
MA,Santa Luzia do Paruá,65272-000 a 65273-999
MA,Santa Quitéria do Maranhão,65540-000 a 65544-999
MA,Santa Rita,65145-000 a 65147-999
MA,Santana do Maranhão,65555-000 a 65559-999
MA,Santo Amaro do Maranhão,65195-000 a 65199-999
MA,Santo Antônio dos Lopes,65730-000 a 65734-999
MA,Satubinha,65709-000 a 65709-999
MA,Senador Alexandre Costa,65783-000 a 65784-999
MA,Senador La Rocque,65935-000 a 65935-499
MA,Senador La Rocque,65935-899 a 65935-958
MA,Serrano do Maranhão,65269-000 a 65269-999
MA,Sucupira do Norte,65860-000 a 65869-999
MA,Sucupira do Riachão,65668-000 a 65669-999
MA,São Benedito do Rio Preto,65440-000 a 65449-999
MA,São Bento,65235-000 a 65237-999
MA,São Bernardo,65550-000 a 65554-999
MA,São Domingos do Azeitão,65888-000 a 65889-999
MA,São Domingos do Maranhão,65790-000 a 65794-999
MA,São Francisco do Brejão,65929-000 a 65929-999
MA,São Francisco do Maranhão,65650-000 a 65659-999
MA,São Félix de Balsas,65890-000 a 65894-999
MA,São José de Ribamar,65110-000 a 65129-999
MA,São José dos Basílios,65762-000 a 65762-999
MA,São João Batista,65225-000 a 65229-999
MA,São João do Carú,65385-000 a 65389-999
MA,São João do Paraíso,65973-000 a 65974-999
MA,São João do Soter,65615-000 a 65619-999
MA,São João dos Patos,65665-000 a 65667-999
MA,São Luís,65000-001 a 65109-999
MA,São Luís,65000-001 a 65109-999
MA,São Luís Gonzaga do Maranhão,65708-000 a 65708-999
MA,São Mateus do Maranhão,65470-000 a 65479-999
MA,São Pedro da Água Branca,65920-000 a 65920-999
MA,São Pedro dos Crentes,65978-000 a 65979-999
MA,São Raimundo das Mangabeiras,65840-000 a 65849-999
MA,São Raimundo do Doca Bezerra,65753-000 a 65754-999
MA,São Roberto,65758-000 a 65759-999
MA,São Vicente Ferrer,65220-000 a 65222-999
MA,Sítio Novo,65925-000 a 65926-999
MA,Tasso Fragoso,65820-000 a 65829-999
MA,Timbiras,65420-000 a 65429-999
MA,Timon,65630-001 a 65639-999
MA,Timon,65630-001 a 65638-999
MA,Trizidela do Vale,65727-000 a 65727-999
MA,Tufilândia,65378-000 a 65379-999
MA,Tuntum,65763-000 a 65764-999
MA,Turiaçu,65278-000 a 65278-999
MA,Turilândia,65276-000 a 65277-999
MA,Tutóia,65580-000 a 65584-999
MA,Urbano Santos,65530-000 a 65534-999
MA,Vargem Grande,65430-000 a 65439-999
MA,Viana,65215-000 a 65217-999
MA,Vila Nova dos Martírios,65924-000 a 65924-999
MA,Vitorino Freire,65320-000 a 65334-999
MA,Vitória do Mearim,65350-000 a 65359-999
MA,Zé Doca,65365-000 a 65367-999
MA,Água Doce do Maranhão,65578-000 a 65579-999
MG,Abadia dos Dourados,38540-000 a 38549-999
MG,Abaeté,35620-000 a 35620-999
MG,Abre Campo,35365-000 a 35366-999
MG,Acaiaca,35438-000 a 35438-999
MG,Aguanil,37273-000 a 37274-999
MG,Aimorés,35200-000 a 35219-999
MG,Aiuruoca,37450-000 a 37451-999
MG,Alagoa,37458-000 a 37459-999
MG,Albertina,37596-000 a 37599-999
MG,Alfenas,37130-001 a 37139-999
MG,Alfenas,37130-001 a 37138-999
MG,Alfredo Vasconcelos,36272-000 a 36274-999
MG,Almenara,39900-000 a 39911-999
MG,Alpercata,35138-000 a 35139-999
MG,Alpinópolis,37940-000 a 37944-999
MG,Alterosa,37145-000 a 37147-999
MG,Alto Caparaó,36979-000 a 36979-999
MG,Alto Jequitibá,36976-000 a 36978-999
MG,Alto Rio Doce,36260-000 a 36264-999
MG,Alvarenga,35249-000 a 35249-999
MG,Alvinópolis,35950-000 a 35959-999
MG,Alvorada de Minas,39140-000 a 39149-999
MG,Além Paraíba,36660-000 a 36669-999
MG,Amparo da Serra,35444-000 a 35446-999
MG,Andradas,37795-000 a 37799-999
MG,Andrelândia,37300-000 a 37304-999
MG,Angelândia,39685-000 a 39687-999
MG,Antônio Carlos,36220-000 a 36224-999
MG,Antônio Dias,35177-000 a 35178-999
MG,Antônio Prado de Minas,36850-000 a 36854-999
MG,Aracitaba,36255-000 a 36259-999
MG,Araguari,38440-001 a 38459-999
MG,Araguari,38440-001 a 38449-999
MG,Arantina,37360-000 a 37369-999
MG,Araponga,36594-000 a 36599-999
MG,Araporã,38465-000 a 38469-999
MG,Arapuá,38860-000 a 38869-999
MG,Araxá,38180-001 a 38184-999
MG,Araxá,38180-001 a 38184-999
MG,Araçaí,35777-000 a 35779-999
MG,Araçuaí,39600-000 a 39609-999
MG,Araújos,35603-000 a 35603-999
MG,Arceburgo,37820-000 a 37854-999
MG,Arcos,35588-000 a 35589-999
MG,Areado,37140-000 a 37141-999
MG,Argirita,36710-000 a 36719-999
MG,Aricanduva,39678-000 a 39679-999
MG,Arinos,38680-000 a 38688-999
MG,Astolfo Dutra,36780-000 a 36783-999
MG,Ataléia,39850-000 a 39854-999
MG,Augusto de Lima,39219-000 a 39219-999
MG,Açucena,35147-000 a 35147-999
MG,Baependi,37443-000 a 37444-999
MG,Baldim,35732-000 a 35735-999
MG,Bambuí,38900-000 a 38909-999
MG,Bandeira,39917-000 a 39919-999
MG,Bandeira do Sul,37740-000 a 37749-999
MG,Barbacena,36200-001 a 36209-999
MG,Barbacena,36200-001 a 36205-999
MG,Barra Longa,35447-000 a 35449-999
MG,Barroso,36212-000 a 36212-999
MG,Barão de Cocais,35970-000 a 35983-999
MG,Barão de Monte Alto,36870-000 a 36877-999
MG,Bela Vista de Minas,35938-000 a 35939-999
MG,Belmiro Braga,36126-000 a 36129-999
MG,Belo Horizonte,30000-001 a 31999-999
MG,Belo Horizonte,30000-001 a 31999-999
MG,Belo Oriente,35195-000 a 35197-999
MG,Belo Vale,35473-000 a 35475-999
MG,Berilo,39640-000 a 39641-999
MG,Berizal,39555-000 a 39557-999
MG,Bertópolis,39875-000 a 39877-999
MG,Betim,32600-001 a 32699-999
MG,Betim,32600-001 a 32699-999
MG,Bias Fortes,36230-000 a 36234-999
MG,Bicas,36600-000 a 36603-999
MG,Biquinhas,35621-000 a 35621-999
MG,Boa Esperança,37170-000 a 37174-999
MG,Bocaina de Minas,37340-000 a 37349-999
MG,Bocaiúva,39390-000 a 39396-999
MG,Bom Despacho,35630-001 a 35639-999
MG,Bom Despacho,35630-001 a 35637-999
MG,Bom Jardim de Minas,37310-000 a 37329-999
MG,Bom Jesus da Penha,37948-000 a 37949-999
MG,Bom Jesus do Amparo,35908-000 a 35909-999
MG,Bom Jesus do Galho,35340-000 a 35344-999
MG,Bom Repouso,37610-000 a 37614-999
MG,Bom Sucesso,37220-000 a 37222-999
MG,Bonfim,35480-000 a 35484-999
MG,Bonfinópolis de Minas,38650-000 a 38653-999
MG,Bonito de Minas,39490-000 a 39491-999
MG,Borda da Mata,37564-000 a 37565-999
MG,Botelhos,37720-000 a 37729-999
MG,Botumirim,39595-000 a 39597-999
MG,Brasilândia de Minas,38779-000 a 38779-999
MG,Brasília de Minas,39330-000 a 39334-999
MG,Brazópolis,37530-000 a 37539-999
MG,Braúnas,35189-000 a 35189-999
MG,Brumadinho,35460-000 a 35469-999
MG,Brás Pires,36542-000 a 36543-999
MG,Bueno Brandão,37578-000 a 37579-999
MG,Buenópolis,39230-000 a 39236-999
MG,Bugre,35193-000 a 35193-999
MG,Buritis,38660-000 a 38679-999
MG,Buritizeiro,39280-000 a 39289-999
MG,Cabeceira Grande,38625-000 a 38629-999
MG,Cabo Verde,37880-000 a 37889-999
MG,Cachoeira Dourada,38370-000 a 38379-999
MG,Cachoeira da Prata,35765-000 a 35766-999
MG,Cachoeira de Minas,37545-000 a 37547-999
MG,Cachoeira de Pajeú,39980-000 a 39989-999
MG,Caetanópolis,35770-000 a 35773-999
MG,Caeté,34800-000 a 34989-999
MG,Caiana,36832-000 a 36833-999
MG,Cajuri,36560-000 a 36567-999
MG,Caldas,37780-000 a 37789-999
MG,Camacho,35555-000 a 35556-999
MG,Camanducaia,37650-000 a 37654-999
MG,Cambuquira,37420-000 a 37429-999
MG,Cambuí,37600-000 a 37604-999
MG,Campanha,37400-000 a 37404-999
MG,Campanário,39835-000 a 39836-999
MG,Campestre,37730-000 a 37739-999
MG,Campina Verde,38270-000 a 38279-999
MG,Campo Azul,39338-000 a 39339-999
MG,Campo Belo,37270-000 a 37272-999
MG,Campo Florido,38130-000 a 38139-999
MG,Campo do Meio,37165-000 a 37169-999
MG,Campos Altos,38970-000 a 38979-999
MG,Campos Gerais,37160-000 a 37164-999
MG,Cana Verde,37267-000 a 37269-999
MG,Canaã,36592-000 a 36593-999
MG,Candeias,37280-000 a 37299-999
MG,Cantagalo,39703-000 a 39703-999
MG,Canápolis,38380-000 a 38389-999
MG,Caparaó,36834-000 a 36835-999
MG,Capela Nova,36290-000 a 36299-999
MG,Capelinha,39680-000 a 39684-999
MG,Capetinga,37993-000 a 37996-999
MG,Capim Branco,35730-000 a 35731-999
MG,Capinópolis,38360-000 a 38369-999
MG,Capitão Andrade,35123-000 a 35124-999
MG,Capitão Enéas,39472-000 a 39474-999
MG,Capitólio,37930-000 a 37939-999
MG,Caputira,36925-000 a 36929-999
MG,Caranaíba,36428-000 a 36429-999
MG,Carandaí,36280-000 a 36289-999
MG,Carangola,36800-000 a 36809-999
MG,Caratinga,35300-001 a 35322-999
MG,Caratinga,35300-001 a 35309-999
MG,Caraí,39810-000 a 39813-999
MG,Carbonita,39665-000 a 39669-999
MG,Careaçu,37582-000 a 37583-999
MG,Carlos Chagas,39864-000 a 39867-999
MG,Carmo da Cachoeira,37225-000 a 37234-999
MG,Carmo da Mata,35547-000 a 35549-999
MG,Carmo de Minas,37472-000 a 37473-999
MG,Carmo do Cajuru,35557-000 a 35559-999
MG,Carmo do Paranaíba,38840-000 a 38859-999
MG,Carmo do Rio Claro,37150-000 a 37159-999
MG,Carmésia,35878-000 a 35879-999
MG,Carmópolis de Minas,35534-000 a 35535-999
MG,Carneirinho,38290-000 a 38294-999
MG,Carrancas,37245-000 a 37249-999
MG,Carvalhos,37456-000 a 37457-999
MG,Carvalhópolis,37760-000 a 37774-999
MG,Casa Grande,36422-000 a 36423-999
MG,Cascalho Rico,38460-000 a 38464-999
MG,Cataguases,36770-001 a 36779-999
MG,Cataguases,36770-001 a 36775-999
MG,Catas Altas,35969-000 a 35969-999
MG,Catas Altas da Noruega,36450-000 a 36454-999
MG,Catuji,39816-000 a 39816-999
MG,Catuti,39526-000 a 39526-999
MG,Caxambu,37440-000 a 37442-999
MG,Cedro do Abaeté,35624-000 a 35624-999
MG,Central de Minas,35260-000 a 35264-999
MG,Centralina,38390-000 a 38399-999
MG,Chalé,36985-000 a 36989-999
MG,Chapada Gaúcha,38689-000 a 38689-999
MG,Chapada do Norte,39648-000 a 39649-999
MG,Chiador,36630-000 a 36639-999
MG,Chácara,36110-000 a 36119-999
MG,Cipotânea,36265-000 a 36269-999
MG,Claraval,37997-000 a 37999-999
MG,Claro dos Poções,39380-000 a 39386-999
MG,Cláudio,35530-000 a 35533-999
MG,Coimbra,36550-000 a 36554-999
MG,Coluna,39770-000 a 39774-999
MG,Comendador Gomes,38250-000 a 38259-999
MG,Comercinho,39628-000 a 39629-999
MG,Conceição da Aparecida,37148-000 a 37149-999
MG,Conceição da Barra de Minas,36360-000 a 36369-999
MG,Conceição das Alagoas,38120-000 a 38129-999
MG,Conceição das Pedras,37527-000 a 37529-999
MG,Conceição de Ipanema,36947-000 a 36949-999
MG,Conceição do Mato Dentro,35858-000 a 35864-999
MG,Conceição do Pará,35668-000 a 35668-999
MG,Conceição do Rio Verde,37430-000 a 37439-999
MG,Conceição dos Ouros,37548-000 a 37548-999
MG,Confins,33500-000 a 33599-999
MG,Congonhal,37584-000 a 37585-999
MG,Congonhas,36410-001 a 36419-999
MG,Congonhas,36410-001 a 36417-999
MG,Congonhas do Norte,35850-000 a 35857-999
MG,Conquista,38195-000 a 38199-999
MG,Conselheiro Lafaiete,36400-001 a 36409-999
MG,Conselheiro Lafaiete,36400-001 a 36408-999
MG,Conselheiro Pena,35240-000 a 35245-999
MG,Consolação,37670-000 a 37679-999
MG,Contagem,32000-001 a 32399-999
MG,Contagem,32000-001 a 32399-999
MG,Coqueiral,37235-000 a 37239-999
MG,Coração de Jesus,39340-000 a 39349-999
MG,Cordisburgo,35780-000 a 35784-999
MG,Cordislândia,37498-000 a 37499-999
MG,Corinto,39200-000 a 39204-999
MG,Coroaci,39710-000 a 39714-999
MG,Coromandel,38550-000 a 38569-999
MG,Coronel Fabriciano,35170-001 a 35176-999
MG,Coronel Fabriciano,35170-001 a 35175-999
MG,Coronel Murta,39635-000 a 39639-999
MG,Coronel Pacheco,36155-000 a 36156-999
MG,Coronel Xavier Chaves,36330-000 a 36334-999
MG,Couto de Magalhães de Minas,39188-000 a 39189-999
MG,Cristais,37275-000 a 37277-999
MG,Cristiano Otoni,36426-000 a 36427-999
MG,Cristina,37476-000 a 37477-999
MG,Cristália,39598-000 a 39599-999
MG,Crisólita,39885-000 a 39889-999
MG,Crucilândia,35478-000 a 35479-999
MG,Cruzeiro da Fortaleza,38735-000 a 38739-999
MG,Cruzília,37445-000 a 37446-999
MG,Cuparaque,35246-000 a 35247-999
MG,Curral de Dentro,39569-000 a 39569-999
MG,Curvelo,35789-001 a 35799-999
MG,Curvelo,35790-001 a 35797-999
MG,Cássia,37980-000 a 37989-999
MG,Córrego Danta,38990-000 a 39099-999
MG,Córrego Fundo,35568-000 a 35568-999
MG,Córrego Novo,35345-000 a 35347-999
MG,Córrego do Bom Jesus,37605-000 a 37609-999
MG,Cônego Marinho,39489-000 a 39489-999
MG,Datas,39130-000 a 39134-999
MG,Delfim Moreira,37514-000 a 37515-999
MG,Delfinópolis,37910-000 a 37919-999
MG,Delta,38108-000 a 38109-999
MG,Descoberto,36690-000 a 36699-999
MG,Desterro de Entre Rios,35492-000 a 35494-999
MG,Desterro do Melo,36210-000 a 36211-999
MG,Diamantina,39100-000 a 39119-999
MG,Diogo de Vasconcelos,35437-000 a 35437-999
MG,Dionísio,35984-000 a 35985-999
MG,Divino,36820-000 a 36827-999
MG,Divino das Laranjeiras,35265-000 a 35269-999
MG,Divinolândia de Minas,39735-000 a 39739-999
MG,Divinésia,36546-000 a 36549-999
MG,Divinópolis,35500-001 a 35516-999
MG,Divinópolis,35500-001 a 35515-999
MG,Divisa Alegre,39995-000 a 39997-999
MG,Divisa Nova,37142-000 a 37142-999
MG,Divisópolis,39912-000 a 39914-999
MG,Dom Bosco,38654-000 a 38657-999
MG,Dom Cavati,35148-000 a 35149-999
MG,Dom Joaquim,35865-000 a 35874-999
MG,Dom Silvério,35440-000 a 35440-999
MG,Dom Viçoso,37474-000 a 37475-999
MG,Dona Euzébia,36784-000 a 36787-999
MG,Dores de Campos,36213-000 a 36214-999
MG,Dores de Guanhães,35894-000 a 35899-999
MG,Dores do Indaiá,35610-000 a 35612-999
MG,Dores do Turvo,36513-000 a 36514-999
MG,Doresópolis,37926-000 a 37926-999
MG,Douradoquara,38530-000 a 38539-999
MG,Durandé,36974-000 a 36975-799
MG,Elói Mendes,37110-000 a 37114-999
MG,Engenheiro Caldas,35130-000 a 35134-999
MG,Engenheiro Navarro,39363-000 a 39364-999
MG,Entre Folhas,35324-000 a 35324-999
MG,Entre Rios de Minas,35490-000 a 35491-999
MG,Ervália,36555-000 a 36559-999
MG,Esmeraldas,32800-000 a 32824-999
MG,Esmeraldas,32800-001 a 32809-999
MG,Esmeraldas,32816-000 a 32823-999
MG,Espera Feliz,36830-000 a 36831-999
MG,Espinosa,39510-000 a 39515-999
MG,Espírito Santo do Dourado,37566-000 a 37566-999
MG,Estiva,37542-000 a 37544-999
MG,Estrela Dalva,36725-000 a 36729-999
MG,Estrela do Indaiá,35613-000 a 35616-999
MG,Estrela do Sul,38525-000 a 38529-999
MG,Eugenópolis,36855-000 a 36859-999
MG,Ewbank da Câmara,36108-000 a 36109-999
MG,Extrema,37640-000 a 37649-999
MG,Fama,37144-000 a 37144-999
MG,Faria Lemos,36840-000 a 36843-999
MG,Felisburgo,39895-000 a 39899-999
MG,Felixlândia,39237-000 a 39239-999
MG,Felício dos Santos,39180-000 a 39184-999
MG,Fernandes Tourinho,35135-000 a 35137-999
MG,Ferros,35800-000 a 35809-999
MG,Fervedouro,36815-000 a 36819-999
MG,Florestal,35690-000 a 35693-999
MG,Formiga,35570-001 a 35579-999
MG,Formiga,35570-001 a 35578-999
MG,Formiga,35579-700 a 35579-999
MG,Formoso,38690-000 a 38699-999
MG,Fortaleza de Minas,37905-000 a 37909-999
MG,Fortuna de Minas,35760-000 a 35762-999
MG,Francisco Badaró,39644-000 a 39644-999
MG,Francisco Dumont,39387-000 a 39389-999
MG,Francisco Sá,39580-000 a 39589-999
MG,Franciscópolis,39695-000 a 39699-999
MG,Frei Gaspar,39840-000 a 39847-999
MG,Frei Inocêncio,35112-000 a 35112-999
MG,Frei Lagonegro,39708-000 a 39709-999
MG,Fronteira,38230-000 a 38239-999
MG,Fronteira dos Vales,39870-000 a 39872-999
MG,Fruta de Leite,39558-000 a 39559-999
MG,Frutal,38200-001 a 38209-999
MG,Frutal,38200-001 a 38207-999
MG,Funilândia,35736-000 a 35737-999
MG,Galiléia,35250-000 a 35257-999
MG,Gameleiras,39505-000 a 39507-999
MG,Glaucilândia,39592-000 a 39593-999
MG,Goiabeira,35248-000 a 35248-999
MG,Goianá,36152-000 a 36154-999
MG,Gonzaga,39720-000 a 39722-999
MG,Gonçalves,37680-000 a 37689-999
MG,Gouveia,39120-000 a 39129-999
MG,Governador Valadares,35000-001 a 35109-999
MG,Governador Valadares,35000-001 a 35099-999
MG,Grupiara,38470-000 a 38474-999
MG,Grão Mogol,39570-000 a 39572-999
MG,Guanhães,39740-000 a 39744-999
MG,Guapé,37177-000 a 37189-999
MG,Guaraciaba,35436-000 a 35436-999
MG,Guaraciama,39397-000 a 39397-999
MG,Guarani,36160-000 a 36164-999
MG,Guaranésia,37810-000 a 37819-999
MG,Guarará,36606-000 a 36607-999
MG,Guarda-Mor,38570-000 a 38599-999
MG,Guaxupé,37800-000 a 37804-999
MG,Guidoval,36515-000 a 36519-999
MG,Guimarânia,38730-000 a 38734-999
MG,Guiricema,36525-000 a 36529-999
MG,Gurinhatã,38310-000 a 38319-999
MG,Heliodora,37484-000 a 37484-999
MG,Iapu,35190-000 a 35192-999
MG,Ibertioga,36225-000 a 36226-999
MG,Ibiaí,39350-000 a 39354-999
MG,Ibiracatu,39455-000 a 39457-999
MG,Ibiraci,37990-000 a 37992-999
MG,Ibirité,32400-001 a 32449-999
MG,Ibirité,32400-001 a 32439-999
MG,Ibitiúra de Minas,37790-000 a 37794-999
MG,Ibituruna,37223-000 a 37224-999
MG,Ibiá,38950-000 a 38959-999
MG,Icaraí de Minas,39318-000 a 39319-999
MG,Igarapé,32900-000 a 32919-999
MG,Igaratinga,35695-000 a 35699-999
MG,Iguatama,38910-000 a 38929-999
MG,Ijaci,37218-000 a 37219-999
MG,Ilicínea,37175-000 a 37176-999
MG,Imbé de Minas,35323-000 a 35323-999
MG,Inconfidentes,37576-000 a 37577-999
MG,Indaiabira,39536-000 a 39537-999
MG,Indianópolis,38490-000 a 38499-999
MG,Ingaí,37215-000 a 37217-999
MG,Inhapim,35330-000 a 35333-999
MG,Inhaúma,35763-000 a 35764-999
MG,Inimutaba,39243-000 a 39244-999
MG,Ipaba,35198-000 a 35198-999
MG,Ipanema,36950-000 a 36952-999
MG,Ipatinga,35150-001 a 35169-999
MG,Ipatinga,35150-001 a 35168-999
MG,Ipiaçu,38350-000 a 38359-999
MG,Ipuiúna,37588-000 a 37588-999
MG,Iraí de Minas,38510-000 a 38519-999
MG,Itabira,35900-001 a 35907-999
MG,Itabira,35900-001 a 35904-999
MG,Itabirinha,35280-000 a 35289-999
MG,Itabirito,35450-001 a 35459-999
MG,Itabirito,35450-001 a 35457-999
MG,Itacambira,39594-000 a 39594-999
MG,Itacarambi,39470-000 a 39471-999
MG,Itaguara,35488-000 a 35489-999
MG,Itaipé,39815-000 a 39815-999
MG,Itajubá,37500-001 a 37507-999
MG,Itajubá,37500-001 a 37506-999
MG,Itamarandiba,39670-000 a 39677-999
MG,Itamarati de Minas,36788-000 a 36789-999
MG,Itambacuri,39830-000 a 39834-999
MG,Itambé do Mato Dentro,35820-000 a 35829-999
MG,Itamogi,37973-000 a 37974-999
MG,Itamonte,37466-000 a 37466-999
MG,Itanhandu,37464-000 a 37464-999
MG,Itanhomi,35120-000 a 35122-999
MG,Itaobim,39625-000 a 39627-999
MG,Itapagipe,38240-000 a 38249-999
MG,Itapecerica,35550-000 a 35554-999
MG,Itapeva,37655-000 a 37659-999
MG,Itatiaiuçu,35685-000 a 35689-999
MG,Itaverava,36440-000 a 36449-999
MG,Itaú de Minas,37975-000 a 37979-999
MG,Itaúna,35680-001 a 35684-999
MG,Itaúna,35680-001 a 35684-999
MG,Itinga,39610-000 a 39614-999
MG,Itueta,35220-000 a 35224-999
MG,Ituiutaba,38300-001 a 38309-999
MG,Ituiutaba,38300-001 a 38309-999
MG,Itumirim,37210-000 a 37214-999
MG,Iturama,38280-000 a 38287-999
MG,Itutinga,36390-000 a 36399-999
MG,Jaboticatubas,35830-000 a 35844-999
MG,Jacinto,39930-000 a 39934-999
MG,Jacutinga,37590-000 a 37595-999
MG,Jacuí,37965-000 a 37967-999
MG,Jaguaraçu,35188-000 a 35188-999
MG,Jampruca,39837-000 a 39839-999
MG,Janaúba,39440-001 a 39449-999
MG,Janaúba,39440-001 a 39448-999
MG,Januária,39480-000 a 39488-999
MG,Japaraíba,35580-000 a 35581-999
